,L1Loss(),L1Loss()
epoch,train_loss,val_loss
1,41.8839257079938,45.33784965989221
2,40.93023415287128,43.6166174199508
3,40.36750157683823,43.444219183537854
4,40.192069444622724,43.78058554806705
5,40.13208994614206,42.70342575674251
6,40.09973180797329,43.20956828042897
7,41.70732905444387,43.628671764349434
8,41.84386517488401,41.48815076353339
9,41.94599682844705,43.4512437594694
10,41.94138247503505,43.1539808897507
11,41.80647672842796,42.31847741298855
12,41.70146714412523,42.372767229204804
13,41.65091870785166,42.39023063813832
14,41.12961432724658,43.966522015687794
15,40.55920138604479,43.09095221122178
16,40.15141231988465,43.135393905987385
17,39.94794827909246,43.31446126499135
18,39.791647693626146,43.28456666918012
19,39.645805088065956,42.58311885948494
20,39.50445213705421,42.85186382544073
21,39.242468625296205,42.67119782719341
22,39.19150721735292,42.73647698686681
23,39.15631373675001,42.61153500132994
24,39.13261689575851,42.67390847343763
25,39.11023306309966,42.755238091971
