,MSELoss(),MSELoss()
epoch,train_loss,val_loss
1,4091.689038739355,4178.926040185903
2,3925.37105101054,4309.480473867164
3,3852.4387430084303,4243.809339928887
4,3760.169544080748,4230.150579070118
5,3632.065274649293,4322.725786433909
6,3462.4020731756577,4402.245991072997
7,3252.062459309896,4574.629870390399
8,3006.1105567059667,5042.269318591057
9,2727.0180387548,4617.3145997799475
10,2423.312053834493,5221.2401359623
11,2104.742693037418,5187.190662703856
12,1786.4847341718464,5282.209134181823
13,1484.081818547678,5370.348994425406
14,1214.6155173642792,5517.818555458783
15,984.5244556881795,5510.200823982025
16,794.6813417309393,5731.316162554346
17,645.9401664492568,5830.58035015046
18,531.0253700868926,6044.787170929289
19,443.706222838613,5971.310663605664
20,380.5110078500715,5580.758969498144
21,330.8938696868228,5783.20163286471
22,296.083825839523,5965.471285591728
23,268.15585123326656,5915.927025091604
24,246.52482120114811,5829.969163674486
25,229.5425317620419,5557.682253646387
26,213.6022465875259,5578.4723052422305
27,201.56156101087583,5881.885415208151
28,190.45465041854376,5681.5869205887375
29,180.91676484268078,5740.982537344913
30,170.84929129050596,5632.59670490251
31,162.79780389270644,5718.955545270139
32,153.56547723106513,5818.694396601847
33,147.71659098901307,5565.75522469837
34,139.22055199987406,5656.695487818481
35,133.4289754751535,5547.298099559538
36,127.89259832154805,5600.403082327304
37,120.81374416397726,5593.87645327451
38,116.20710138566882,5521.107866474954
39,111.93243140988686,5614.950874708692
40,107.06344081293928,5467.95215422212
41,103.62596628694929,5523.434231615588
42,98.90739454468961,5516.29589265288
43,96.1576527569996,5447.791172180547
44,92.17413605089025,5459.471024171405
45,88.56136074947905,5515.495874972708
46,85.7884060165888,5510.952133456818
47,82.88166069624778,5467.296977639922
48,80.0557163674756,5428.972391269911
49,77.26663934656594,5387.617545478978
50,75.22376211681505,5407.10939361461
